#a15affc9-ff9d-4cc1-84d9-e38e05c6dfe1
МКД|||78:31:0001283:3015|a15affc9-ff9d-4cc1-84d9-e38e05c6dfe1
КВ|1||78:31:0001283:3612|1d4fc758-8bf9-4403-a9bf-705bf1f5c0b5
КВ|2||78:31:0001283:3613|11d5ccc9-2772-4cec-9f25-052faa3647c5
КВ|4||78:31:0001283:3578|f8e26308-414d-4c48-8983-2183e99ace7d
КВ|5||78:31:0001283:3579|39d5113b-e18e-4678-881f-7810f5e15811
КВ|6||78:31:0001283:3580|bc63fec0-1ca6-4ea6-9f2b-ed856b53ea3f
КВ|7||78:31:0001283:3581|d60318dc-84c6-459d-b9ae-8753e87b36dc
КВ|8||78:31:0001283:3589|30b78ff5-7bcc-4700-a669-7c57cf573857
КВ|9||78:31:0001283:3572|6657050d-f9e4-469d-a889-44933b230367
КВ|10||78:31:0001283:3582|a31bd102-b7c7-4fb0-9f16-d38d03dfe82f
КВ|11||78:31:0001283:3583|60acc456-1340-4f55-9cb9-0074026e8741
ЧКВ|11|1||6786aebf-88f5-44d6-9253-9978bae10a6d
ЧКВ|11|6||ce72c27b-7953-4329-a60b-8d50d733784f
ЧКВ|11|7||5287c129-d57d-43fc-a45c-3d6a9680b4be
КВ|12||78:31:0001283:3590|d2e6f0f3-9592-40ac-87b0-44564e3298ac
КВ|13||78:31:0001283:3591|8eca066b-402d-4e8a-8b47-a5504534fdd7
КВ|14||78:31:0001283:3592|9528aea1-8aac-40e9-8b94-3912172673f7
КВ|15||78:31:0001283:3593|05c76475-30ab-4e11-96b7-fe45afab73d8
КВ|16||78:31:0001283:3603|11015e90-06e1-4074-b1a2-b6ef0555c104
КВ|17||78:31:0001283:3604|18ea3fe3-3aba-4a80-83ce-40fc0d6b8ab8
КВ|18||78:31:0001283:3605|1cfc3318-93e7-4371-a494-09527b2c20f2
КВ|19||78:31:0001283:3606|78d3aead-913d-4b73-a7b8-561234e9ac46
КВ|21||78:31:0001283:3614|90553d0c-243e-4b46-9b1e-1ac2641e81a4
